frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
66,3.3499,0.509916,0.390174,-1.428407,0.997346,0.760821,0.612445,-0.333172,0.973016,0.298756,0.665122,-0.228656,0.944024,0.981818,0.911528,-0.422068,0.497813,0.044776,0.962513,-0.141301,0.385183,1.077759,1.113368,-1.071721,0.217129,-0.015107,1.106726,-0.738150,0.180586
67,3.3948,0.511510,0.391713,-1.484141,0.997319,0.764338,0.607063,-0.365832,0.975115,0.313708,0.651296,-0.254481,0.948315,0.977888,0.910547,-0.346273,0.514733,0.063935,0.955162,-0.220864,0.402539,1.094516,1.185611,-0.943062,0.218994,-0.068449,1.185122,-0.777886,0.173122
68,3.4439,0.520236,0.393135,-1.374312,0.997378,0.768388,0.602301,-0.307990,0.977070,0.321945,0.640261,-0.261261,0.952551,0.968491,0.908429,-0.279757,0.531704,0.078084,0.942606,-0.165393,0.431092,1.068367,1.175972,-0.862582,0.223890,-0.092092,1.207322,-0.680622,0.171628
69,3.4955,0.524464,0.383387,-1.307667,0.997406,0.770809,0.592163,-0.246654,0.978909,0.323709,0.642304,-0.199723,0.955327,0.965527,0.900870,-0.156329,0.550688,0.086384,0.937439,-0.091036,0.445094,1.068007,1.190102,-0.666451,0.229220,-0.083160,1.168872,-0.633050,0.166727
70,3.5449,0.527622,0.385300,-1.352762,0.997552,0.772427,0.593027,-0.299756,0.980783,0.329066,0.639527,-0.253300,0.959342,0.968952,0.905826,-0.311500,0.572621,0.080329,0.938239,-0.196971,0.467468,1.075726,1.206087,-0.843632,0.234369,-0.105965,1.241446,-0.679165,0.160886
71,3.6037,0.531886,0.404349,-1.407810,0.997443,0.773784,0.597304,-0.393379,0.982095,0.334184,0.644616,-0.345050,0.962140,0.968657,0.909348,-0.358082,0.592748,0.077087,0.939781,-0.243868,0.489682,1.073480,1.200727,-0.926937,0.232419,-0.089904,1.206123,-0.732405,0.159914
72,3.6588,0.537765,0.423035,-1.558727,0.997450,0.774810,0.629813,-0.545531,0.982987,0.332630,0.670184,-0.451725,0.963758,0.970149,0.912625,-0.661082,0.610980,0.075579,0.943508,-0.349092,0.510542,1.064466,1.082214,-1.263600,0.238924,-0.117510,1.229232,-0.840424,0.156647
73,3.7072,0.543982,0.437957,-1.517470,0.997476,0.775933,0.649053,-0.516019,0.984216,0.337855,0.677597,-0.425923,0.966394,0.968504,0.914973,-0.587992,0.629931,0.080288,0.944672,-0.347230,0.535720,1.063350,1.095052,-1.190563,0.246531,-0.130400,1.249059,-0.823367,0.156902
74,3.7567,0.545151,0.457308,-1.449303,0.997316,0.777658,0.673305,-0.494016,0.984646,0.340730,0.702493,-0.408083,0.967088,0.968353,0.918553,-0.563481,0.633495,0.086433,0.945986,-0.341306,0.540345,1.061502,1.101393,-1.128971,0.242151,-0.109852,1.230569,-0.836378,0.150478
75,3.8068,0.545400,0.485731,-1.652553,0.997511,0.779505,0.707035,-0.689476,0.985641,0.346332,0.728254,-0.583644,0.969636,0.968665,0.935899,-0.982847,0.654529,0.087218,0.946523,-0.532591,0.564426,1.019409,1.012941,-1.658715,0.258445,-0.128616,1.287562,-0.984874,0.155397
